Year,SERIES,Reference area,UNIT_MEASURE,Value
2014,10.4.1 Civil Servants Retirees and invalid people who receive pension benefits,,Number,47375
2016,10.4.1 Civil Servants Retirees and invalid people who receive pension benefits,,Number,52274
2017,10.4.1 Civil Servants Retirees and invalid people who receive pension benefits,,Number,54092
2018,10.4.1 Civil Servants Retirees and invalid people who receive pension benefits,,Number,55702
2019,10.4.1 Civil Servants Retirees and invalid people who receive pension benefits,,Number,57282
2020,10.4.1 Civil Servants Retirees and invalid people who receive pension benefits,,Number,58762
2014,10.4.1 Civil Servants Retirees and invalid people who receive pension benefits,Banteay Meanchey,Number,1192
2014,10.4.1 Civil Servants Retirees and invalid people who receive pension benefits,Battambang,Number,2711
2014,10.4.1 Civil Servants Retirees and invalid people who receive pension benefits,Kampong Cham,Number,4644
2014,10.4.1 Civil Servants Retirees and invalid people who receive pension benefits,Kampong Chhnang,Number,1325
2014,10.4.1 Civil Servants Retirees and invalid people who receive pension benefits,Kampong Speu,Number,1743
2014,10.4.1 Civil Servants Retirees and invalid people who receive pension benefits,Kampong Thom,Number,1732
2014,10.4.1 Civil Servants Retirees and invalid people who receive pension benefits,Kampot,Number,1889
2014,10.4.1 Civil Servants Retirees and invalid people who receive pension benefits,Kandal,Number,3705
2014,10.4.1 Civil Servants Retirees and invalid people who receive pension benefits,Kep,Number,242
2014,10.4.1 Civil Servants Retirees and invalid people who receive pension benefits,Koh Kong,Number,230
2014,10.4.1 Civil Servants Retirees and invalid people who receive pension benefits,Kratie,Number,1052
2014,10.4.1 Civil Servants Retirees and invalid people who receive pension benefits,Mondul Kiri,Number,315
2014,10.4.1 Civil Servants Retirees and invalid people who receive pension benefits,Oddar Meanchey,Number,190
2014,10.4.1 Civil Servants Retirees and invalid people who receive pension benefits,Pailin,Number,146
2014,10.4.1 Civil Servants Retirees and invalid people who receive pension benefits,Phnom Penh,Number,14628
2014,10.4.1 Civil Servants Retirees and invalid people who receive pension benefits,Preah Sihanouk,Number,606
2014,10.4.1 Civil Servants Retirees and invalid people who receive pension benefits,Preah Vihear,Number,385
2014,10.4.1 Civil Servants Retirees and invalid people who receive pension benefits,Prey Veng,Number,3232
2014,10.4.1 Civil Servants Retirees and invalid people who receive pension benefits,Pursat,Number,1228
2014,10.4.1 Civil Servants Retirees and invalid people who receive pension benefits,Ratanak Kiri,Number,125
2014,10.4.1 Civil Servants Retirees and invalid people who receive pension benefits,Siemreap,Number,1562
2014,10.4.1 Civil Servants Retirees and invalid people who receive pension benefits,Stung Treng,Number,372
2014,10.4.1 Civil Servants Retirees and invalid people who receive pension benefits,Svay Rieng,Number,1664
2014,10.4.1 Civil Servants Retirees and invalid people who receive pension benefits,Takeo,Number,2457
