Year,SERIES,Reference area,Sex,UNIT_MEASURE,Value
2000,3.2.1 Maternal mortality ratio (MMR),,Female,"Per 100,000 live births",437.0
2005,3.2.1 Maternal mortality ratio (MMR),,Female,"Per 100,000 live births",472.0
2008,3.2.1 Maternal mortality ratio (MMR),,Female,"Per 100,000 live births",460.84
2010,3.2.1 Maternal mortality ratio (MMR),,Female,"Per 100,000 live births",206.0
2014,3.2.1 Maternal mortality ratio (MMR),,Female,"Per 100,000 live births",170.0
2019,3.2.1 Maternal mortality ratio (MMR),,Female,"Per 100,000 live births",141.0
2008,3.2.1 Maternal mortality ratio (MMR),Banteay Meanchey,Female,"Per 100,000 live births",263.5
2008,3.2.1 Maternal mortality ratio (MMR),Battambang,Female,"Per 100,000 live births",219.41
2008,3.2.1 Maternal mortality ratio (MMR),Kampong Cham,Female,"Per 100,000 live births",451.02
2008,3.2.1 Maternal mortality ratio (MMR),Kampong Chhnang,Female,"Per 100,000 live births",277.22
2008,3.2.1 Maternal mortality ratio (MMR),Kampong Speu,Female,"Per 100,000 live births",460.78
2008,3.2.1 Maternal mortality ratio (MMR),Kampong Thom,Female,"Per 100,000 live births",590.68
2008,3.2.1 Maternal mortality ratio (MMR),Kampot,Female,"Per 100,000 live births",823.4
2008,3.2.1 Maternal mortality ratio (MMR),Kandal,Female,"Per 100,000 live births",305.06
2008,3.2.1 Maternal mortality ratio (MMR),Kep,Female,"Per 100,000 live births",1388.13
2008,3.2.1 Maternal mortality ratio (MMR),Koh Kong,Female,"Per 100,000 live births",1113.26
2008,3.2.1 Maternal mortality ratio (MMR),Kratie,Female,"Per 100,000 live births",491.03
2008,3.2.1 Maternal mortality ratio (MMR),Mondul Kiri,Female,"Per 100,000 live births",1498.75
2008,3.2.1 Maternal mortality ratio (MMR),Oddar Meanchey,Female,"Per 100,000 live births",257.07
2008,3.2.1 Maternal mortality ratio (MMR),Pailin,Female,"Per 100,000 live births",630.63
2008,3.2.1 Maternal mortality ratio (MMR),Phnom Penh,Female,"Per 100,000 live births",298.42
2008,3.2.1 Maternal mortality ratio (MMR),Preah Sihanouk,Female,"Per 100,000 live births",806.45
2008,3.2.1 Maternal mortality ratio (MMR),Preah Vihear,Female,"Per 100,000 live births",476.33
2008,3.2.1 Maternal mortality ratio (MMR),Prey Veng,Female,"Per 100,000 live births",613.66
2008,3.2.1 Maternal mortality ratio (MMR),Pursat,Female,"Per 100,000 live births",269.49
2008,3.2.1 Maternal mortality ratio (MMR),Ratanak Kiri,Female,"Per 100,000 live births",1441.73
2008,3.2.1 Maternal mortality ratio (MMR),Siemreap,Female,"Per 100,000 live births",366.0
2008,3.2.1 Maternal mortality ratio (MMR),Stung Treng,Female,"Per 100,000 live births",423.53
2008,3.2.1 Maternal mortality ratio (MMR),Svay Rieng,Female,"Per 100,000 live births",558.84
2008,3.2.1 Maternal mortality ratio (MMR),Takeo,Female,"Per 100,000 live births",568.85
