Year,SERIES,តំបន់យោង,កំរិតនគរូបនីយកម្ម,UNIT_MEASURE,Value
1998,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,5.3
2000,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,4.0
2004,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,3.34
2005,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,3.4
2008,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,3.1
2010,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,3.0
2013,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,2.37
2014,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,2.7
2019,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,2.51
1998,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),,ទីប្រជុំជន,កំណើតរស់ក្នុងស្ត្រីម្នាក់,4.4
2000,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),,ទីប្រជុំជន,កំណើតរស់ក្នុងស្ត្រីម្នាក់,3.1
2005,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),,ទីប្រជុំជន,កំណើតរស់ក្នុងស្ត្រីម្នាក់,2.8
2008,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),,ទីប្រជុំជន,កំណើតរស់ក្នុងស្ត្រីម្នាក់,2.1
2010,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),,ទីប្រជុំជន,កំណើតរស់ក្នុងស្ត្រីម្នាក់,2.2
2013,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),,ទីប្រជុំជន,កំណើតរស់ក្នុងស្ត្រីម្នាក់,2.15
2014,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),,ទីប្រជុំជន,កំណើតរស់ក្នុងស្ត្រីម្នាក់,2.1
2019,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),,ទីប្រជុំជន,កំណើតរស់ក្នុងស្ត្រីម្នាក់,2.22
1998,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),,ជនបទ,កំណើតរស់ក្នុងស្ត្រីម្នាក់,5.5
2000,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),,ជនបទ,កំណើតរស់ក្នុងស្ត្រីម្នាក់,4.2
2005,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),,ជនបទ,កំណើតរស់ក្នុងស្ត្រីម្នាក់,3.5
2008,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),,ជនបទ,កំណើតរស់ក្នុងស្ត្រីម្នាក់,3.3
2010,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),,ជនបទ,កំណើតរស់ក្នុងស្ត្រីម្នាក់,3.3
2013,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),,ជនបទ,កំណើតរស់ក្នុងស្ត្រីម្នាក់,3.05
2014,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),,ជនបទ,កំណើតរស់ក្នុងស្ត្រីម្នាក់,2.9
2019,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),,ជនបទ,កំណើតរស់ក្នុងស្ត្រីម្នាក់,2.81
2000,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),បន្ទាយមានជ័យ,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,4.3
2005,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),បន្ទាយមានជ័យ,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,3.8
2008,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),បន្ទាយមានជ័យ,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,2.7
