Year,SERIES,REF_AREA,SEX,URBANISATION,UNIT_MEASURE,Value
1998,N_KH_030101_01,,F,,Y,58.3
2000,N_KH_030101_01,,F,,Y,54.4
2001,N_KH_030101_01,,F,,Y,55.1
2002,N_KH_030101_01,,F,,Y,55.8
2003,N_KH_030101_01,,F,,Y,56.5
2004,N_KH_030101_01,,F,,Y,57.2
2005,N_KH_030101_01,,F,,Y,57.9
2006,N_KH_030101_01,,F,,Y,58.6
2007,N_KH_030101_01,,F,,Y,59.3
2008,N_KH_030101_01,,F,,Y,64.3
2009,N_KH_030101_01,,F,,Y,65.2
2010,N_KH_030101_01,,F,,Y,66.1
2011,N_KH_030101_01,,F,,Y,67.0
2012,N_KH_030101_01,,F,,Y,67.9
2013,N_KH_030101_01,,F,,Y,68.8
2014,N_KH_030101_01,,F,,Y,69.6
2015,N_KH_030101_01,,F,,Y,70.4
2016,N_KH_030101_01,,F,,Y,71.2
2017,N_KH_030101_01,,F,,Y,72.0
2018,N_KH_030101_01,,F,,Y,72.7
2019,N_KH_030101_01,,F,,Y,76.8
1998,N_KH_030101_01,,M,,Y,54.4
2000,N_KH_030101_01,,M,,Y,60.6
2001,N_KH_030101_01,,M,,Y,61.3
2002,N_KH_030101_01,,M,,Y,62.0
2003,N_KH_030101_01,,M,,Y,62.7
2004,N_KH_030101_01,,M,,Y,63.4
2005,N_KH_030101_01,,M,,Y,64.1
2006,N_KH_030101_01,,M,,Y,64.9
2007,N_KH_030101_01,,M,,Y,65.6
2008,N_KH_030101_01,,M,,Y,60.5
2009,N_KH_030101_01,,M,,Y,61.4
2010,N_KH_030101_01,,M,,Y,62.3
2011,N_KH_030101_01,,M,,Y,63.1
2012,N_KH_030101_01,,M,,Y,64.0
2013,N_KH_030101_01,,M,,Y,64.8
2014,N_KH_030101_01,,M,,Y,65.6
2015,N_KH_030101_01,,M,,Y,66.4
2016,N_KH_030101_01,,M,,Y,67.1
2017,N_KH_030101_01,,M,,Y,67.9
2018,N_KH_030101_01,,M,,Y,68.6
2019,N_KH_030101_01,,M,,Y,74.3
1998,N_KH_030101_01,,,,Y,56.3
2000,N_KH_030101_01,,,,Y,57.5
2001,N_KH_030101_01,,,,Y,58.2
2002,N_KH_030101_01,,,,Y,58.9
2003,N_KH_030101_01,,,,Y,59.6
2004,N_KH_030101_01,,,,Y,60.3
2005,N_KH_030101_01,,,,Y,61.0
2006,N_KH_030101_01,,,,Y,61.7
2007,N_KH_030101_01,,,,Y,62.4
2008,N_KH_030101_01,,,,Y,62.4
2009,N_KH_030101_01,,,,Y,63.8
2010,N_KH_030101_01,,,,Y,64.5
2011,N_KH_030101_01,,,,Y,65.2
2012,N_KH_030101_01,,,,Y,66.7
2013,N_KH_030101_01,,,,Y,67.6
2014,N_KH_030101_01,,,,Y,68.3
2015,N_KH_030101_01,,,,Y,69.1
2016,N_KH_030101_01,,,,Y,69.9
2017,N_KH_030101_01,,,,Y,70.6
2018,N_KH_030101_01,,,,Y,70.6
2019,N_KH_030101_01,,,,Y,75.5
1998,N_KH_030101_01,,,U,Y,60.0
2019,N_KH_030101_01,,,U,Y,75.6
1998,N_KH_030101_01,,,R,Y,55.8
2019,N_KH_030101_01,,,R,Y,74.5
2008,N_KH_030101_01,KH01,F,,Y,67.9
2008,N_KH_030101_01,KH01,M,,Y,64.0
2008,N_KH_030101_01,KH01,,,Y,65.9
2008,N_KH_030101_01,KH02,F,,Y,67.2
2008,N_KH_030101_01,KH02,M,,Y,63.3
2008,N_KH_030101_01,KH02,,,Y,65.2
2008,N_KH_030101_01,KH03,F,,Y,66.7
2008,N_KH_030101_01,KH03,M,,Y,62.9
2008,N_KH_030101_01,KH03,,,Y,64.8
2008,N_KH_030101_01,KH04,F,,Y,68.6
2008,N_KH_030101_01,KH04,M,,Y,64.7
2008,N_KH_030101_01,KH04,,,Y,66.6
2008,N_KH_030101_01,KH05,F,,Y,63.8
2008,N_KH_030101_01,KH05,M,,Y,60.0
2008,N_KH_030101_01,KH05,,,Y,61.8
2008,N_KH_030101_01,KH06,F,,Y,64.7
2008,N_KH_030101_01,KH06,M,,Y,60.9
2008,N_KH_030101_01,KH06,,,Y,62.8
2008,N_KH_030101_01,KH07,F,,Y,62.1
2008,N_KH_030101_01,KH07,M,,Y,58.5
2008,N_KH_030101_01,KH07,,,Y,60.2
2008,N_KH_030101_01,KH08,F,,Y,67.1
2008,N_KH_030101_01,KH08,M,,Y,63.2
2008,N_KH_030101_01,KH08,,,Y,65.1
2008,N_KH_030101_01,KH23,F,,Y,65.0
2008,N_KH_030101_01,KH23,M,,Y,61.2
2008,N_KH_030101_01,KH23,,,Y,63.0
2008,N_KH_030101_01,KH09,F,,Y,60.9
2008,N_KH_030101_01,KH09,M,,Y,57.3
2008,N_KH_030101_01,KH09,,,Y,59.1
2008,N_KH_030101_01,KH10,F,,Y,60.5
2008,N_KH_030101_01,KH10,M,,Y,57.0
2008,N_KH_030101_01,KH10,,,Y,58.7
2008,N_KH_030101_01,KH11,F,,Y,45.5
2008,N_KH_030101_01,KH11,M,,Y,52.5
2008,N_KH_030101_01,KH11,,,Y,44.0
2008,N_KH_030101_01,KH22,F,,Y,60.8
2008,N_KH_030101_01,KH22,M,,Y,57.2
2008,N_KH_030101_01,KH22,,,Y,59.0
2008,N_KH_030101_01,KH24,F,,Y,64.2
2008,N_KH_030101_01,KH24,M,,Y,60.4
2008,N_KH_030101_01,KH24,,,Y,62.3
2008,N_KH_030101_01,KH12,F,,Y,70.8
2008,N_KH_030101_01,KH12,M,,Y,66.8
2008,N_KH_030101_01,KH12,,,Y,68.8
2008,N_KH_030101_01,KH18,F,,Y,54.4
2008,N_KH_030101_01,KH18,M,,Y,51.3
2008,N_KH_030101_01,KH18,,,Y,52.8
2008,N_KH_030101_01,KH13,F,,Y,43.4
2008,N_KH_030101_01,KH13,M,,Y,40.5
2008,N_KH_030101_01,KH13,,,Y,41.9
2008,N_KH_030101_01,KH14,F,,Y,65.7
2008,N_KH_030101_01,KH14,M,,Y,61.9
2008,N_KH_030101_01,KH14,,,Y,63.8
2008,N_KH_030101_01,KH15,F,,Y,65.1
2008,N_KH_030101_01,KH15,M,,Y,61.4
2008,N_KH_030101_01,KH15,,,Y,63.2
2008,N_KH_030101_01,KH16,F,,Y,35.0
2008,N_KH_030101_01,KH16,M,,Y,32.5
2008,N_KH_030101_01,KH16,,,Y,33.7
2008,N_KH_030101_01,KH17,F,,Y,70.0
2008,N_KH_030101_01,KH17,M,,Y,66.1
2008,N_KH_030101_01,KH17,,,Y,68.7
2008,N_KH_030101_01,KH19,F,,Y,54.6
2008,N_KH_030101_01,KH19,M,,Y,51.5
2008,N_KH_030101_01,KH19,,,Y,53.0
2008,N_KH_030101_01,KH20,F,,Y,58.8
2008,N_KH_030101_01,KH20,M,,Y,55.3
2008,N_KH_030101_01,KH20,,,Y,57.0
2008,N_KH_030101_01,KH21,F,,Y,64.3
2008,N_KH_030101_01,KH21,M,,Y,60.5
2008,N_KH_030101_01,KH21,,,Y,62.4
2019,N_KH_030101_01,,F,U,Y,77.7
2019,N_KH_030101_01,,F,R,Y,76.4
2019,N_KH_030101_01,,M,R,Y,72.8
2019,N_KH_030101_01,,M,U,Y,73.5
