Year,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,Value
1998,N_KH_030102_01,,,LIVE_BIRTHS_PER_WOMAN,5.3
2000,N_KH_030102_01,,,LIVE_BIRTHS_PER_WOMAN,4.0
2004,N_KH_030102_01,,,LIVE_BIRTHS_PER_WOMAN,3.34
2005,N_KH_030102_01,,,LIVE_BIRTHS_PER_WOMAN,3.4
2008,N_KH_030102_01,,,LIVE_BIRTHS_PER_WOMAN,3.1
2010,N_KH_030102_01,,,LIVE_BIRTHS_PER_WOMAN,3.0
2013,N_KH_030102_01,,,LIVE_BIRTHS_PER_WOMAN,2.37
2014,N_KH_030102_01,,,LIVE_BIRTHS_PER_WOMAN,2.7
2019,N_KH_030102_01,,,LIVE_BIRTHS_PER_WOMAN,2.51
1998,N_KH_030102_01,,U,LIVE_BIRTHS_PER_WOMAN,4.4
2000,N_KH_030102_01,,U,LIVE_BIRTHS_PER_WOMAN,3.1
2005,N_KH_030102_01,,U,LIVE_BIRTHS_PER_WOMAN,2.8
2008,N_KH_030102_01,,U,LIVE_BIRTHS_PER_WOMAN,2.1
2010,N_KH_030102_01,,U,LIVE_BIRTHS_PER_WOMAN,2.2
2013,N_KH_030102_01,,U,LIVE_BIRTHS_PER_WOMAN,2.15
2014,N_KH_030102_01,,U,LIVE_BIRTHS_PER_WOMAN,2.1
2019,N_KH_030102_01,,U,LIVE_BIRTHS_PER_WOMAN,2.22
1998,N_KH_030102_01,,R,LIVE_BIRTHS_PER_WOMAN,5.5
2000,N_KH_030102_01,,R,LIVE_BIRTHS_PER_WOMAN,4.2
2005,N_KH_030102_01,,R,LIVE_BIRTHS_PER_WOMAN,3.5
2008,N_KH_030102_01,,R,LIVE_BIRTHS_PER_WOMAN,3.3
2010,N_KH_030102_01,,R,LIVE_BIRTHS_PER_WOMAN,3.3
2013,N_KH_030102_01,,R,LIVE_BIRTHS_PER_WOMAN,3.05
2014,N_KH_030102_01,,R,LIVE_BIRTHS_PER_WOMAN,2.9
2019,N_KH_030102_01,,R,LIVE_BIRTHS_PER_WOMAN,2.81
2000,N_KH_030102_01,KH01,,LIVE_BIRTHS_PER_WOMAN,4.3
2005,N_KH_030102_01,KH01,,LIVE_BIRTHS_PER_WOMAN,3.8
2008,N_KH_030102_01,KH01,,LIVE_BIRTHS_PER_WOMAN,2.7
2010,N_KH_030102_01,KH01,,LIVE_BIRTHS_PER_WOMAN,3.2
2008,N_KH_030102_01,KH02,,LIVE_BIRTHS_PER_WOMAN,3.2
2000,N_KH_030102_01,KH03,,LIVE_BIRTHS_PER_WOMAN,4.2
2005,N_KH_030102_01,KH03,,LIVE_BIRTHS_PER_WOMAN,3.2
2008,N_KH_030102_01,KH03,,LIVE_BIRTHS_PER_WOMAN,3.1
2010,N_KH_030102_01,KH03,,LIVE_BIRTHS_PER_WOMAN,3.4
2000,N_KH_030102_01,KH04,,LIVE_BIRTHS_PER_WOMAN,5.2
2005,N_KH_030102_01,KH04,,LIVE_BIRTHS_PER_WOMAN,4.3
2008,N_KH_030102_01,KH04,,LIVE_BIRTHS_PER_WOMAN,3.6
2010,N_KH_030102_01,KH04,,LIVE_BIRTHS_PER_WOMAN,3.6
2000,N_KH_030102_01,KH05,,LIVE_BIRTHS_PER_WOMAN,4.6
2005,N_KH_030102_01,KH05,,LIVE_BIRTHS_PER_WOMAN,3.7
2008,N_KH_030102_01,KH05,,LIVE_BIRTHS_PER_WOMAN,3.4
2010,N_KH_030102_01,KH05,,LIVE_BIRTHS_PER_WOMAN,3.1
2000,N_KH_030102_01,KH06,,LIVE_BIRTHS_PER_WOMAN,4.3
2005,N_KH_030102_01,KH06,,LIVE_BIRTHS_PER_WOMAN,3.7
2008,N_KH_030102_01,KH06,,LIVE_BIRTHS_PER_WOMAN,3.3
2010,N_KH_030102_01,KH06,,LIVE_BIRTHS_PER_WOMAN,3.2
2008,N_KH_030102_01,KH07,,LIVE_BIRTHS_PER_WOMAN,3.1
2000,N_KH_030102_01,KH08,,LIVE_BIRTHS_PER_WOMAN,3.8
2005,N_KH_030102_01,KH08,,LIVE_BIRTHS_PER_WOMAN,3.1
2008,N_KH_030102_01,KH08,,LIVE_BIRTHS_PER_WOMAN,2.8
2010,N_KH_030102_01,KH08,,LIVE_BIRTHS_PER_WOMAN,2.9
2008,N_KH_030102_01,KH23,,LIVE_BIRTHS_PER_WOMAN,3.3
