Year,SERIES,REF_AREA,SEX,URBANISATION,UNIT_MEASURE,Value
2004,N_KH_04010101_01,,F,,PT,45.7
2005,N_KH_04010101_01,,F,,PT,42.2
2006,N_KH_04010101_01,,F,,PT,89.8
2007,N_KH_04010101_01,,F,,PT,88.0
2008,N_KH_04010101_01,,F,,PT,85.7
2009,N_KH_04010101_01,,F,,PT,83.6
2010,N_KH_04010101_01,,F,,PT,85.0
2011,N_KH_04010101_01,,F,,PT,89.9
2012,N_KH_04010101_01,,F,,PT,87.8
2013,N_KH_04010101_01,,F,,PT,90.2
2014,N_KH_04010101_01,,F,,PT,86.6
2015,N_KH_04010101_01,,F,,PT,84.0
2016,N_KH_04010101_01,,F,,PT,83.2
2017,N_KH_04010101_01,,F,,PT,82.7
2018,N_KH_04010101_01,,F,,PT,86.1
2019,N_KH_04010101_01,,F,,PT,87.6
2004,N_KH_04010101_01,,F,U,PT,56.4
2005,N_KH_04010101_01,,F,U,PT,54.2
2006,N_KH_04010101_01,,F,U,PT,94.9
2007,N_KH_04010101_01,,F,U,PT,91.5
2008,N_KH_04010101_01,,F,U,PT,88.3
2009,N_KH_04010101_01,,F,U,PT,84.4
2010,N_KH_04010101_01,,F,U,PT,88.2
2011,N_KH_04010101_01,,F,U,PT,78.8
2012,N_KH_04010101_01,,F,U,PT,79.2
2013,N_KH_04010101_01,,F,U,PT,78.6
2014,N_KH_04010101_01,,F,U,PT,76.6
2015,N_KH_04010101_01,,F,U,PT,75.2
2016,N_KH_04010101_01,,F,U,PT,74.0
2017,N_KH_04010101_01,,F,U,PT,72.5
2018,N_KH_04010101_01,,F,U,PT,77.1
2019,N_KH_04010101_01,,F,U,PT,77.2
2004,N_KH_04010101_01,,F,R,PT,44.5
2005,N_KH_04010101_01,,F,R,PT,41.1
2006,N_KH_04010101_01,,F,R,PT,90.5
2007,N_KH_04010101_01,,F,R,PT,88.8
2008,N_KH_04010101_01,,F,R,PT,87.0
2009,N_KH_04010101_01,,F,R,PT,83.5
2010,N_KH_04010101_01,,F,R,PT,84.4
2011,N_KH_04010101_01,,F,R,PT,92.4
2012,N_KH_04010101_01,,F,R,PT,90.2
2013,N_KH_04010101_01,,F,R,PT,92.8
