Year,SERIES,REF_AREA,UNIT_MEASURE,Value
2014,N_KH_100401_01,,NUMBER,47375
2016,N_KH_100401_01,,NUMBER,52274
2017,N_KH_100401_01,,NUMBER,54092
2018,N_KH_100401_01,,NUMBER,55702
2019,N_KH_100401_01,,NUMBER,57282
2020,N_KH_100401_01,,NUMBER,58762
2014,N_KH_100401_01,KH01,NUMBER,1192
2014,N_KH_100401_01,KH02,NUMBER,2711
2014,N_KH_100401_01,KH03,NUMBER,4644
2014,N_KH_100401_01,KH04,NUMBER,1325
2014,N_KH_100401_01,KH05,NUMBER,1743
2014,N_KH_100401_01,KH06,NUMBER,1732
2014,N_KH_100401_01,KH07,NUMBER,1889
2014,N_KH_100401_01,KH08,NUMBER,3705
2014,N_KH_100401_01,KH23,NUMBER,242
2014,N_KH_100401_01,KH09,NUMBER,230
2014,N_KH_100401_01,KH10,NUMBER,1052
2014,N_KH_100401_01,KH11,NUMBER,315
2014,N_KH_100401_01,KH22,NUMBER,190
2014,N_KH_100401_01,KH24,NUMBER,146
2014,N_KH_100401_01,KH12,NUMBER,14628
2014,N_KH_100401_01,KH18,NUMBER,606
2014,N_KH_100401_01,KH13,NUMBER,385
2014,N_KH_100401_01,KH14,NUMBER,3232
2014,N_KH_100401_01,KH15,NUMBER,1228
2014,N_KH_100401_01,KH16,NUMBER,125
2014,N_KH_100401_01,KH17,NUMBER,1562
2014,N_KH_100401_01,KH19,NUMBER,372
2014,N_KH_100401_01,KH20,NUMBER,1664
2014,N_KH_100401_01,KH21,NUMBER,2457
