Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,UNIT_MEASURE,Value
2000,SH_STA_STNT,,F,Y0T4,,,PT,45.9
2005,SH_STA_STNT,,F,Y0T4,,,PT,35.8
2010,SH_STA_STNT,,F,Y0T4,,,PT,38.2
2014,SH_STA_STNT,,F,Y0T4,,,PT,31.9
2000,SH_STA_STNT,,M,Y0T4,,,PT,43.3
2005,SH_STA_STNT,,M,Y0T4,,,PT,38.8
2010,SH_STA_STNT,,M,Y0T4,,,PT,41.6
2014,SH_STA_STNT,,M,Y0T4,,,PT,32.9
2000,SH_STA_STNT,,,Y0T4,,,PT,44.6
2005,SH_STA_STNT,,,Y0T4,,,PT,37.3
2010,SH_STA_STNT,,,Y0T4,,,PT,39.9
2014,SH_STA_STNT,,,Y0T4,,,PT,32.4
2005,SH_STA_STNT,,,Y0T4,,Q1,PT,46.7
2010,SH_STA_STNT,,,Y0T4,,Q1,PT,51.1
2014,SH_STA_STNT,,,Y0T4,,Q1,PT,41.9
2005,SH_STA_STNT,,,Y0T4,,Q2,PT,42.5
2010,SH_STA_STNT,,,Y0T4,,Q2,PT,44.4
2014,SH_STA_STNT,,,Y0T4,,Q2,PT,37.1
2005,SH_STA_STNT,,,Y0T4,,Q3,PT,36.5
2010,SH_STA_STNT,,,Y0T4,,Q3,PT,39.3
2014,SH_STA_STNT,,,Y0T4,,Q3,PT,31.7
2005,SH_STA_STNT,,,Y0T4,,Q4,PT,35.5
2010,SH_STA_STNT,,,Y0T4,,Q4,PT,34.2
2014,SH_STA_STNT,,,Y0T4,,Q4,PT,29.1
2005,SH_STA_STNT,,,Y0T4,,Q5,PT,19.4
2010,SH_STA_STNT,,,Y0T4,,Q5,PT,23.1
2014,SH_STA_STNT,,,Y0T4,,Q5,PT,18.5
2000,SH_STA_STNT,,,Y0T4,U,,PT,38.1
2005,SH_STA_STNT,,,Y0T4,U,,PT,30.5
2010,SH_STA_STNT,,,Y0T4,U,,PT,27.5
2014,SH_STA_STNT,,,Y0T4,U,,PT,23.7
2000,SH_STA_STNT,,,Y0T4,R,,PT,45.7
2005,SH_STA_STNT,,,Y0T4,R,,PT,38.3
2010,SH_STA_STNT,,,Y0T4,R,,PT,42.2
2014,SH_STA_STNT,,,Y0T4,R,,PT,33.8
2000,SH_STA_STNT,KH01,,Y0T4,,,PT,28.9
2005,SH_STA_STNT,KH01,,Y0T4,,,PT,34.1
2010,SH_STA_STNT,KH01,,Y0T4,,,PT,33.4
2014,SH_STA_STNT,KH01,,Y0T4,,,PT,28.6
2000,SH_STA_STNT,KH03,,Y0T4,,,PT,48.2
2005,SH_STA_STNT,KH03,,Y0T4,,,PT,37.2
2010,SH_STA_STNT,KH03,,Y0T4,,,PT,46.9
2014,SH_STA_STNT,KH03,,Y0T4,,,PT,33.5
2000,SH_STA_STNT,KH04,,Y0T4,,,PT,45.9
2005,SH_STA_STNT,KH04,,Y0T4,,,PT,37.3
2010,SH_STA_STNT,KH04,,Y0T4,,,PT,40.3
2014,SH_STA_STNT,KH04,,Y0T4,,,PT,42.8
2000,SH_STA_STNT,KH05,,Y0T4,,,PT,44.5
2005,SH_STA_STNT,KH05,,Y0T4,,,PT,36.6
2010,SH_STA_STNT,KH05,,Y0T4,,,PT,42.1
2014,SH_STA_STNT,KH05,,Y0T4,,,PT,40.5
2000,SH_STA_STNT,KH06,,Y0T4,,,PT,47.2
2005,SH_STA_STNT,KH06,,Y0T4,,,PT,41.1
2010,SH_STA_STNT,KH06,,Y0T4,,,PT,49.9
2014,SH_STA_STNT,KH06,,Y0T4,,,PT,36.4
2000,SH_STA_STNT,KH08,,Y0T4,,,PT,46.2
2005,SH_STA_STNT,KH08,,Y0T4,,,PT,26.8
2010,SH_STA_STNT,KH08,,Y0T4,,,PT,34.9
2014,SH_STA_STNT,KH08,,Y0T4,,,PT,28.1
2000,SH_STA_STNT,KH09,,Y0T4,,,PT,55.0
2005,SH_STA_STNT,KH10,,Y0T4,,,PT,37.1
2010,SH_STA_STNT,KH10,,Y0T4,,,PT,47.6
2014,SH_STA_STNT,KH10,,Y0T4,,,PT,38.4
2005,SH_STA_STNT,KH22,,Y0T4,,,PT,47.3
2010,SH_STA_STNT,KH22,,Y0T4,,,PT,39.6
2014,SH_STA_STNT,KH22,,Y0T4,,,PT,36.3
2000,SH_STA_STNT,KH12,,Y0T4,,,PT,22.6
2005,SH_STA_STNT,KH12,,Y0T4,,,PT,22.3
2010,SH_STA_STNT,KH12,,Y0T4,,,PT,25.1
2014,SH_STA_STNT,KH12,,Y0T4,,,PT,17.9
2000,SH_STA_STNT,KH14,,Y0T4,,,PT,51.2
2005,SH_STA_STNT,KH14,,Y0T4,,,PT,38.3
2010,SH_STA_STNT,KH14,,Y0T4,,,PT,34.6
2014,SH_STA_STNT,KH14,,Y0T4,,,PT,32.7
2000,SH_STA_STNT,KH15,,Y0T4,,,PT,46.3
2005,SH_STA_STNT,KH15,,Y0T4,,,PT,61.6
2010,SH_STA_STNT,KH15,,Y0T4,,,PT,44.8
2014,SH_STA_STNT,KH15,,Y0T4,,,PT,38.8
2005,SH_STA_STNT,KH17,,Y0T4,,,PT,53.3
2010,SH_STA_STNT,KH17,,Y0T4,,,PT,50.3
2014,SH_STA_STNT,KH17,,Y0T4,,,PT,35.9
2000,SH_STA_STNT,KH20,,Y0T4,,,PT,51.3
2005,SH_STA_STNT,KH20,,Y0T4,,,PT,35.4
2010,SH_STA_STNT,KH20,,Y0T4,,,PT,31.2
2014,SH_STA_STNT,KH20,,Y0T4,,,PT,32.8
2000,SH_STA_STNT,KH21,,Y0T4,,,PT,42.1
2005,SH_STA_STNT,KH21,,Y0T4,,,PT,38.5
2010,SH_STA_STNT,KH21,,Y0T4,,,PT,41.3
2014,SH_STA_STNT,KH21,,Y0T4,,,PT,30.7
2000,SH_STA_STNT,KH_AGG_KH02_KH24,,Y0T4,,,PT,36.3
2005,SH_STA_STNT,KH_AGG_KH02_KH24,,Y0T4,,,PT,36.2
2010,SH_STA_STNT,KH_AGG_KH02_KH24,,Y0T4,,,PT,26.5
2014,SH_STA_STNT,KH_AGG_KH02_KH24,,Y0T4,,,PT,24.9
2000,SH_STA_STNT,KH_AGG_KH07_KH18_KH23,,Y0T4,,,PT,43.4
2000,SH_STA_STNT,KH_AGG_KH10_KH13_KH19,,Y0T4,,,PT,51.0
2000,SH_STA_STNT,KH_AGG_KH11_KH16,,Y0T4,,,PT,55.0
2005,SH_STA_STNT,KH_AGG_KH11_KH16,,Y0T4,,,PT,54.0
2010,SH_STA_STNT,KH_AGG_KH11_KH16,,Y0T4,,,PT,54.9
2014,SH_STA_STNT,KH_AGG_KH11_KH16,,Y0T4,,,PT,39.8
2000,SH_STA_STNT,KH_AGG_KH22_KH17,,Y0T4,,,PT,50.7
