Year,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,Value
2000,SH_STA_BRTC,,,PT,31.8
2005,SH_STA_BRTC,,,PT,43.8
2010,SH_STA_BRTC,,,PT,71.0
2014,SH_STA_BRTC,,,PT,89.0
2015,SH_STA_BRTC,,,PT,89.0
2016,SH_STA_BRTC,,,PT,85.0
2017,SH_STA_BRTC,,,PT,89.0
2018,SH_STA_BRTC,,,PT,87.3
2000,SH_STA_BRTC,,U,PT,57.2
2005,SH_STA_BRTC,,U,PT,70.1
2010,SH_STA_BRTC,,U,PT,94.7
2014,SH_STA_BRTC,,U,PT,97.8
2000,SH_STA_BRTC,,R,PT,28.0
2005,SH_STA_BRTC,,R,PT,39.4
2010,SH_STA_BRTC,,R,PT,66.6
2014,SH_STA_BRTC,,R,PT,87.6
2000,SH_STA_BRTC,KH01,,PT,36.6
2005,SH_STA_BRTC,KH01,,PT,33.1
2010,SH_STA_BRTC,KH01,,PT,69.0
2014,SH_STA_BRTC,KH01,,PT,95.8
2000,SH_STA_BRTC,KH03,,PT,22.5
2005,SH_STA_BRTC,KH03,,PT,45.9
2010,SH_STA_BRTC,KH03,,PT,67.9
2014,SH_STA_BRTC,KH03,,PT,91.5
2000,SH_STA_BRTC,KH04,,PT,16.6
2005,SH_STA_BRTC,KH04,,PT,37.2
2010,SH_STA_BRTC,KH04,,PT,59.8
2014,SH_STA_BRTC,KH04,,PT,97.6
2000,SH_STA_BRTC,KH05,,PT,15.1
2005,SH_STA_BRTC,KH05,,PT,22.7
2010,SH_STA_BRTC,KH05,,PT,68.2
2014,SH_STA_BRTC,KH05,,PT,89.3
2000,SH_STA_BRTC,KH06,,PT,15.4
2005,SH_STA_BRTC,KH06,,PT,24.5
2010,SH_STA_BRTC,KH06,,PT,47.7
2014,SH_STA_BRTC,KH06,,PT,80.4
2000,SH_STA_BRTC,KH08,,PT,53.0
2005,SH_STA_BRTC,KH08,,PT,73.5
2010,SH_STA_BRTC,KH08,,PT,87.0
2014,SH_STA_BRTC,KH08,,PT,95.7
2000,SH_STA_BRTC,KH09,,PT,30.6
2005,SH_STA_BRTC,KH10,,PT,28.6
2010,SH_STA_BRTC,KH10,,PT,44.4
2014,SH_STA_BRTC,KH10,,PT,51.9
2005,SH_STA_BRTC,KH22,,PT,15.2
2010,SH_STA_BRTC,KH22,,PT,64.4
2014,SH_STA_BRTC,KH22,,PT,88.7
2000,SH_STA_BRTC,KH12,,PT,88.9
2005,SH_STA_BRTC,KH12,,PT,86.0
2010,SH_STA_BRTC,KH12,,PT,98.8
2014,SH_STA_BRTC,KH12,,PT,96.1
2000,SH_STA_BRTC,KH14,,PT,25.3
2005,SH_STA_BRTC,KH14,,PT,28.0
2010,SH_STA_BRTC,KH14,,PT,59.2
2014,SH_STA_BRTC,KH14,,PT,97.6
2000,SH_STA_BRTC,KH15,,PT,19.0
2005,SH_STA_BRTC,KH15,,PT,31.7
2010,SH_STA_BRTC,KH15,,PT,73.9
2014,SH_STA_BRTC,KH15,,PT,86.1
2005,SH_STA_BRTC,KH17,,PT,28.6
2010,SH_STA_BRTC,KH17,,PT,72.7
2014,SH_STA_BRTC,KH17,,PT,93.0
2000,SH_STA_BRTC,KH20,,PT,22.4
2005,SH_STA_BRTC,KH20,,PT,28.9
2010,SH_STA_BRTC,KH20,,PT,89.6
2014,SH_STA_BRTC,KH20,,PT,94.3
2000,SH_STA_BRTC,KH21,,PT,39.5
2005,SH_STA_BRTC,KH21,,PT,62.1
2010,SH_STA_BRTC,KH21,,PT,85.4
2014,SH_STA_BRTC,KH21,,PT,97.4
2000,SH_STA_BRTC,KH_AGG_KH02_KH24,,PT,44.7
2005,SH_STA_BRTC,KH_AGG_KH02_KH24,,PT,59.3
2010,SH_STA_BRTC,KH_AGG_KH02_KH24,,PT,78.1
2014,SH_STA_BRTC,KH_AGG_KH02_KH24,,PT,94.1
2000,SH_STA_BRTC,KH_AGG_KH07_KH18_KH23,,PT,30.8
2000,SH_STA_BRTC,KH_AGG_KH10_KH13_KH19,,PT,40.5
2000,SH_STA_BRTC,KH_AGG_KH11_KH16,,PT,14.2
2005,SH_STA_BRTC,KH_AGG_KH11_KH16,,PT,13.7
2010,SH_STA_BRTC,KH_AGG_KH11_KH16,,PT,38.4
2014,SH_STA_BRTC,KH_AGG_KH11_KH16,,PT,53.6
2000,SH_STA_BRTC,KH_AGG_KH22_KH17,,PT,12.0
2005,SH_STA_BRTC,KH_AGG_KH07_KH23,,PT,41.0
2010,SH_STA_BRTC,KH_AGG_KH07_KH23,,PT,66.5
2014,SH_STA_BRTC,KH_AGG_KH07_KH23,,PT,90.5
2005,SH_STA_BRTC,KH_KH09_KH18,,PT,57.1
2010,SH_STA_BRTC,KH_KH09_KH18,,PT,79.2
2014,SH_STA_BRTC,KH_KH09_KH18,,PT,97.5
2005,SH_STA_BRTC,KH_AGG_KH13_KH19,,PT,12.9
2010,SH_STA_BRTC,KH_AGG_KH13_KH19,,PT,28.2
2014,SH_STA_BRTC,KH_AGG_KH13_KH19,,PT,54.6
